incident_description,primary_cause
"Due to a power hookup issue, installation contractor was not able to test a newly installed well motor after reinstalling the well pump.  Well had been disinfected.  A few days later, after the power hookup, the well was started and the chlorinated water sprayed out a gap in the gasket/pipe onto crew standing nearby and on the power panel.  This incident resulted in splashing chlorinated water onto crew's clothes.  This is a great reminder for crews working around disinfected wells, to always wear proper PPE including safety goggles. ",-CHEMICAL
"We were performing our 6 month inspection (2nd Bi-Annual Service) when we were checking the Vacuum Regulators filters when we found (2) broken indicating tube on the post chlorine gas feed system.  One unit had a 1/16"" hole in the glass and the other just had a crack. The hole and crack would allow air to be sucked into the regulator and lower the amount of Chlorine Gas being fed into the system, or if the system itself shuts off Chlorine Gas would exit into the air around the crack. This is caused by the Main Switchover device being set to high allowing the vacuum to build to a point that when it does switch over it projects the float to the top of the rotameter where a top stop is there to cushion the float.  Over time the top stop becomes hard (Chlorine Gas dries out the top stop) and causes the float to go in another direction which is to the side creating the crack.  We have adjusted the Main Switchover to switch at a lower rate and it will create less vacuum.  We also are changing the top stop every 6 months to keep a softer top stop in place.  ",-CHEMICAL
"When transferring sodium hypochlorite from the bulk tank into the day tank the operator turned on the transfer pump and heard an unfamiliar noise at which time he stopped the pump. He found that one of the valves on the discharge side of the transfer pump was left open spilling less than a gallon of sodium hypochlorite within the containment. The matter was quickly resolved by closing the valve and the chemical cleaned up, The system was checked and all is in working order. A discussion immediately followed with those involved reminding them to don the proper PPE and to check all valve positions prior to operating pumps of any kind.",-CHEMICAL
The protective valve cover on a chlorine cylinder was loose and could have fallen off during movement causing a potential injury.  This was reported to a supervisor who was going to contacted the chlorine company rep to let them know it may have shipped from them loose or loosened on the way to our facility.   ,-CHEMICAL
"The client installed a hypochlorite tote, metering pump and a old plastic line going to the top of the bioreactor. The line already broke once and spilled hypochlorite all over the stairway leaving a mess. If an operator had been on the stairs they would have been sprayed with it. AW staff replaced the line with a new one but the potential of another break is still there. ",-HAZARDOUS_CHEMICAL-CHEMICAL-POOR_JUDGMENT-NEGLIGENCE
"On 5-20-16 at approximately 1345 hrs. I was testing our water for Manganese and the process uses PAN Indicator Solution 0.1%, Ascorbic Acid and Alkaline Cyanide Reagent. During the testing I was wearing the required PPE for this type of work. After the Manganese testing was completed, I discarded the 10ml test sample cell contents and proceeded to rinse out the the test cell with water. Upon initially rinsing the bottle with potable rinse water a drop landed on my tongue. I first noticed that my tongue started to feel numbness and tingling and I rinsed my mouth and spit out the water several times. At that time I was not alarmed nor did I feel any other symptoms and continued to periodically rinse my mouth and spit while continuing to work. I also immediately reviewed the SDS for the 3 chemicals that I was using. At approximately 1515 hrs. I came from the laboratory to my supervisor and notified him of what occurred and said that I was starting to feel like I was getting feverish and had a very dry cotton mouth. my supervisor  immediately grabbed the SDS sheets for the 3 chemicals and we went to the E.R.  After a doctors examination they found no signs of poisoning by any of the three chemicals and no treatment was performed. I was released by the hospital at approximately 1750 hrs. ",-CHEMICAL
Employee reports that a chemical odor caused an employee to have a coughing fit.,-CHEMICAL
"Frequent transportation of hazardous chemical (liquid chlorine barrels) from delivery point (main treatment plant) to remote points of application: Kagley and Woodland booster stations, and the Ransom treatment facility. Lack of safety training for transportation of hazardous material, lack of proper paperwork and placarding for transporting hazardous material, ",-CHEMICAL
"The Annual Service was being performed, and I found a Ton Container Mounting Kit with the threads ate up at the point of entry to the mounting kit.  This occurs because we added the required Halogen adapter to offset the Vacuum Regulator to attach the Halogen Emergency Shut off valve.  The gas moving thru this adapter ""Flashes Off"" and leaves a deposit at this point.  Over a period of time this point of entry will decay and create a potential hazard, because at this point we are under Chlorine Tank pressure of anywhere from 80 to as much as 120 psi depending upon the heat of the room, and with only 3 thread holding the unit on, the unit itself could blow off and release Chlorine Gas. ",-CHEMICAL
"When Anna Meadows water and wastewater system in Moscow Mills, MO was acquired there wasn't eyewash equipment for handling the sodium hypochlorite that is stored and used in this room.  Fortunately no incidents occurred during the time between acquisition and now.  On 5/26/16 an eyewash/drench system was installed at this site to support safety at the local operation!",-CHEMICAL
"White board not securely mounted to office partition wall, fell and nearly injured occupant.",RAIN
A contractor working outside our house smelled natural gas near the gas meter. They called Alliant Energy and a crew member was dispatched. A leak was detected in the line going into the meter. The line was repaired.,-CHEMICAL
"The Incident occurred on 07/13/2016 @ Drop Zone Well #1.  After moving the CL2 cylinders back into position in the cylinder tank storage structure, the door was closed  and proceeded to pack the truck up to leave the site.  A few minutes had past and the CL2 Alarm went off inside the Well House !  Proceeded to the CL2 cylinder storage, turned on vent / light switch, dawned respirators and opened the door.  After door was opened the Alarm stopped and  proceeded to check the connections on the regulator and CL2 tanks, using the Ammonia bottle and found NO leaks.  Closed the door turned off the vent / light switch and waited for 5 minutes.  The Alarm display started rising and went off again.  This was done several times !  Went back into the CL2 structure, following all protocol and proceeded to ensure that the valves on the CL2 cylinders were CLOSED TIGHT and checked for leaks !  Then proceeded to OPEN the main cylinder valve 1/4 turn and checked for leaks and discovered that there was a small amount of white smoke that came from the main tank valve threads.....immediately CLOSED main valve and tightened down on yellow yolk on main valve and regulator , rechecked for leaks, NO leaks or alarms !  Lesson Learned and Corrective Action was to add to the monthly valve exercise work order to check  ALL valves and yolks to ensure  they are still tight!  The incident was discussed @ the next days Safety Meeting and additional Training and SOP review @ the Safety Committee Meeting !",-CHEMICAL
High pressure side of liquid chlorine injection pump 3/8ths tubing slit and was spraying about head level.  The majority of this line does have conduit around it but the pump end of the line as well as injection end are unprotected.  In this case I was able to see the spray and avoid it.,-CHEMICAL
"An unsafe condition existed in the scrap iron dumpster area of the field ops yard. Employees were front loading the iron dumpster then maneuvering in and around the iron dumpster to evenly distribute the scrap throughout the dumpster. This creates pinching and crushing exposures. The trash dumpster and the iron dumpster were reconfigured within the dumpster area to allow side loading. The containment wall was lowered two courses of block to allow clear line of sight for loading. The iron dumpster can now be safely and evenly loaded from the side, eliminating the exposures.",RAIN
The Senior Operator on shift at NCP was transferring Ammonia NH3 from the Bulk Tank to the Day Tank on the newly installed system. During the transfer the smell of Ammonia filled the room and made the atmosphere very difficult to be in. The vent fans where turned on and the leak was reported. ,-HAZARDOUS_CHEMICAL-CHEMICAL-POOR_JUDGMENT-NEGLIGENCE
While making rounds at the Delran Production Plant noticed a contractor working on the fuel tanks. He had the fuel vault open but did not have a barrier or cones around opening.,RAIN-POOR_VISIBILITY-WEATHER
A sodium hydroxide spill was reported at the Toro Treatment Plant.  Arrived on site and found operations staff working on the issue.  Release of caustic had been stopped by plugging the broken fitting attached to the bulk tank.  Ops staff were waiting for a vendor to visit the site and remediate the spilled chemical that was captured in a containment pit.  The reporting employee didn't notice any face shields or chemical aprons and asked if staff had worn the proper PPE while working in the area of the spill.  Staff indicated they had worn only safety glasses and rubber gloves.  Directed operators to don all required PPE when working in an area where hazardous chemicals have been spilled or released.  That would include a chemical resistant apron and a face shield in the event of splashing.,-CHEMICAL
"The pre-inspection performed by Water Quality-Environmental Compliance discovered that secondary containment for hazardous chemicals.  the Operations Manager conducted a follow-up investigation and found that secondary containment was inadequate and that incompatible chemicals, i.e. hydrochloric acid, soda ash, sodium hypochlochlorite, and glycolic acid were all stored in the same containment.  There were also drums of chemicals that were sitting around the work site (some empty and some half-full without any secondary containment.  Ops Manager contacted the contractor immediately and the last person on-site on late Friday afternoon placed the partially filled barrels in the containment area and removed the empty containers.  The contractor was told to review proper storage of hazardous chemicals and is scheduled to separate the incompatibles to separate and adequate secondary containment.",-CHEMICAL
"While opening an electric panel door, the door hinges broke off and the panel fell.",-ELECTRICAL-NEGLIGENCE
Employee observed leaking valave on NaOH line while filling tank,-CHEMICAL
"Found a spray bottle hanging in RBC #6 that was unlabeled.  Marked the bottle as ""do not use"".  Notified the operators to have them properly label..  ",-CHEMICAL
"Coffee pot for the ready room broke. When the contractor came to remove , the new pot did not fit in the cabinet space. He removed the old one AND the isolation valve for the unit. When an employee went to use the sink, water sprayed out the coffee pot feed line in the area of an electric outlet. Corrected by shutting off the line until new shut off valve could be installed. No one or anything got hurt. ",SNOW-POOR_VISIBILITY-ELECTRICAL-WEATHER
"A Hot Water Unit Heater's Blower Motor failed causing a burnt electrical smell.  FSR Greg Butler contacted the On-Call Supervisor, Chris Depaola who called 911 and told Greg to evacuate the building.  Chris also called Mike Bange, Field Operations Manager who called in an electrician.  It was determined the odor was emanating from this heater unit. ",-ELECTRICAL-NEGLIGENCE
Employee noticed a gas smell near the old carbon room. Employee notified supervisor and supervisor called the gas company in to investigate. Gas company found an underground gas leak in the area the employee pointed out so the gas was shut off and a plumber was called in to repair. After the plumber made the repair they pressure tested the entire line and gas service was restored to normal ,-CHEMICAL
"During the unloading of a lime delivery, the flexible hose (contractor equipment) between the delivery truck and the steel lime line blew a hole. No injuries sustained and 'spill' is not of a reportable quantity. Operators inside the control building heard what sounded like hail hitting the door between the operator booth and the unloading area. The Sr, Operator went through the building (using door on N. side to avoid lime pebble spray) to alert the driver who immediately exited cab to shut down blower.  Supervision were notified and calls placed to contacts with Mississippi Lime (ML) to remedy situation.  Driver began clean-up efforts and was able to remove bulk of lime with shovel and broom.  Supervisor had evenings staff tape off area as concern rain may make lime slippery.  Plans were made by ML to have clean up staff on-site Saturday morning to perform a more thorough clean up effort.  Supervisor  met team at site to give safety briefing and discuss clean up plans.  Vehicles were main concern as 3 trucks, 2 cars and one van were hit with lime from the spray.  Crew on Saturday morning used pressure washer with vinegar to clean vehicles and discussions with ML led us to the decision to have each of the affected vehicles cleaned more thoroughly and detailed.  Supervisor could not reach an open shop for this activity on Saturday and arrangements will be made Monday morning to get vehicles into a shop (Fred Weber?).  Supervisor is meeting with representative of ML this week to discuss use of a steel unloading line (their equipment that we would keep on-site due to bulkiness and daily use) that would prevent similar events from occurring again.  Additionally, Supervisor will have discussions with ML regarding the need for their truck Operators to remain at the unloading site and not in cab of truck.  Overall, ML has been very dedicated to making sure we are happy with the clean up efforts and making things right. H&S was notified 3-19-16.",-CHEMICAL
I was walking on the road that goes back to our Reservoir. The road was covered with dirt from a recent construction project. I failed to realize what appeared to be a safe walking area below the surface was a slick mud surface. I nearly slipped on to my back but caught myself before hitting the ground.,RAIN
"Approximately 4:00 PM on Friday 5/6/2016 Central Plant Assistant Operator noticed that his Lime pinch valves that feed lime to the C/D presed were flowing at 100% and he could not control the feed rate. After approximately 3 to 5 minutes of investigate he notified his Supervisors.  Superivors investigated further by going out to check the lime feed system at the C/D presed. Upon arrival it was observed that a 4'' rubber feed line hose has split and lime has began to spill on the ground. Supervisor contacted the assistance operator to have them shut down the lime feed. A mechanic replaced the 4''' hose with a thicker more durable rubber hose.   The assistance operator was properly monitoring his chemical feeds which allowed us to limit the amount of lime that was leaked to the ground. The lime spill was contained to a small gravel area, spill report was written and lime feed was put back into service. ",-CHEMICAL
It was identified that and electrical panel was not up to code and had exposed electrical wires.  The issue was reported to management and the electrical system will be replace.,-ELECTRICAL-NEGLIGENCE
The seal tight around the wire to a 4160 volt raw water motor separated exposing the wire.  The connection was repaired before the pump was started. ,RAIN-THUNDERSTORM-LOW_VISIBILITY-ELECTRICAL-WEATHER
Employee found extension cords that were plugged in laying in standing water.  Informed supervisor who had the extension cords moved.,-ELECTRICAL-NEGLIGENCE
"While checking to confirm that power had been locked out/tagged out on wire endings to the failed equipment, noticed wires were cracking due to heat stress.  In addition, found that the conduit itself was cracked at the pecker head of the motor. Replaced wire and conduit to eliminate hazard and to prevent a re-occurrence.",-ELECTRICAL-NEGLIGENCE
"Employee went to secure electrical power to a solenoid valve and found the supposed breaker was incorrectly labeled.  Employee recognized the breaker was oversized for a solenoid, and stopped the work.  Personnel are verifying electrical source and re-labeling breakers.",-ELECTRICAL-NEGLIGENCE
"Employee arrived at the well station and found a large tree down on top of the electrical and cable wires that fed the power from the main station building to the well house. The wires were live since the well was currently still in use. The employee notified a supervisor immediately who contacted the power company and township. Corrective Action: The wells and station were shut down immediately and locked out. Since the poles and wires were NJAW's property, the electrical contractor was called in to make repairs once the tree was removed by the township.",RAIN-ELECTRICAL
"During a conversation with our power provider I was told that their meter reader enters the vault to read the electric meter. I cautioned him that it is a confined space and no entry should be made without our employee present who will have a gas detector to ensure the vault is safe to enter. Resolution: meter reader will contact us prior to arrival, we will meet them on site and check the vault before they are allowed to enter the space.",RAIN
Jet Truck was leaking a small amount of water. All hose fittings were tightened. The truck still had a slow drip. Unable to get the truck in the repair shop immediately. Simple fix....put a drip pan underneath when parked and dispose of water properly.,RAIN-SNOW-LOW_VISIBILITY-VEHICLE
Walking down main hallway to garage and noticed water spilled on the floor down the hallway in three different spots.    I cleaned up the water with paper towels to avoid someone from slipping.,RAIN-THUNDERSTORM-LOW_VISIBILITY-WEATHER
An open drain pipe was found in the yard of the WTP.  Could have resulted in a tripping hazard.  A perforated steel drain cover was fabricated in order cover the hole and reduce potential issues.,RAIN-THUNDERSTORM-WEATHER
"Contractor was performing ""wire-to-water efficiency testing"" of 480 volt booster pump. While attaching the ""alligator clips"" of the volt meter to two of the three leads on the motor starter to check the voltage an ""arc flash"" occurred between the two alligator clips causing the 600 amp main breaker to trip resulting in a loud ""bang"". The contractor was wearing appropriate arc flash PPE. The outer gloves, as well as the inside of the motor starter cabinet were visibly burned from the arc flash. It appears that there was not sufficient insulation between the motor leads and that the alligator clips were of a larger than needed size. While the contractor was visibly shaken, he did not sustain any injuries. This has been categorized as a ""SIF"" event and a Tap Root Cause Analysis will follow.",-ELECTRICAL-POOR_JUDGMENT-NEGLIGENCE
10:45 am 10/15/15 while driving on boughton one of the tubes on top of my work truck that I keep the b-box keys in came off and landed in the roadway.,-VEHICLE-NEGLIGENCE
"On 1/15/2016 I was getting ready to open the door to the bathroom facility, bathroom next to exit door to parking lot, when the door swung open from someone exiting the bathroom and  I almost got hit in the head by the door. The bathroom entrance/exit door is solid and provides no warning if someone is on the other side of the door.",RAIN
"While trying to shut-off a consumer due to a leak, Jim felt a tingle in his hands while using the metal shut-off key on the curb stop. Jim realized that the condition could possibly be caused due to an electrical issue on the customer's electric service. He then called the electric company, PSE&G to request that the service be disconnected. Once PSE&G came out, they discovered an issue with the electrical service and disconnected the line. Jim obtained a pair of FSR's electrical safety glove and shut the service off. ",-NEGLIGENCE
"While I was gathering samples, I walked into the valve house and noticed a strong chlorine odor.  I immediately went to the lab to get ammonia bottle to find the leak, and found that it was on a 4 inch valve operated last night in a separate incident. Maintenance and supervision were notified to arrange a shut-down of the plant.",-HAZARDOUS_CHEMICAL-CHEMICAL-POOR_JUDGMENT-NEGLIGENCE
"Traveling past bay doors, traveling east in smaller vehicle.   Noticed crew truck exiting bay door at a higher than normal speed.  Stopped vehicle abruptly to avoid accident.",RAIN-THUNDERSTORM-POOR_VISIBILITY-HIGH_WINDS-VEHICLE-WEATHER
Noticed Carpenter Bee's near the east side employee entrance by the Men's room.  Ask employees to be aware of the bee's when exiting and entering the building.     The Exterminator has been contacted.  ,-LOW_VISIBILITY
Employee noticed that a cord for meter reading equipment had unraveled and was in the path of employees causing a tripping hazard. Employee wrapped the cord up and secured it with a velcro strap to the wire rack which holds the meter reading equipment.,-HIGH_WINDS
Employee found that a bag of polymer had leaked dry polymer onto floor in garage causing a possible slippery area.  Swept up polymer and continued.,-CHEMICAL
Door exiting to outside had no windows in them and you could not see someone entering or exiting the building.,FOG-RAIN-LOW_VISIBILITY-WEATHER
Employee observed leaking valave on NaOH line while filling tank,-CHEMICAL
Contractor hose had a leak and water frozen on an electrical power line.,-ELECTRICAL-NEGLIGENCE
"While employee was dumping spoils and loading stone at M&N's stone yard at night time, the yard lights were out that light up the dumping and loading area.",RAIN-THUNDERSTORM-POOR_VISIBILITY-WEATHER
"Found a spray bottle hanging in RBC #6 that was unlabeled.  Marked the bottle as ""do not use"".  Notified the operators to have them properly label..  ",-CHEMICAL
"Employee reported lab inspection revealed that the lid of a spill kit could not be opened.  The kit was purchased, but the lid never opened and was sealed shut.  A safety ring was removed so that the kit could be readily accessed during an emergency.",RAIN
Found no fire extinguisher in the main office area at this location.   If needed the person or persons would need to travel to other end of building to retrieve a fire extinguisher.  New fire extinguisher has been installed in a central location near the employee entrance.,RAIN-SNOW-LOW_VISIBILITY
wasp nest hidden behind entry door handle. sprayed and removed.,RAIN-THUNDERSTORM-HIGH_WINDS-NEGLIGENCE-WEATHER
Employee observed leaking valave on NaOH line while filling tank,-CHEMICAL
"While removing the housing on an automatic gate operator, in order to check and adjust settings, employee?s wrench touched the bolt and employee felt a small shock indicating outside of housing unit was electrically charged.  Though the employee was not injured the shock could have been much worse had employee not been using a rubber gripped wrench or electrical safety boots.  A multi-meter indicated that exterior of housing box was in fact charged at 119 volts.  Employee shut off power and determined cause, which was a short in electrical wiring due to improper installation (automatic gate operator was installed by a contractor on February 11, 2016).  The employee properly insulated and reconnected wires appropriately and repositioned to avoid further contact to exterior housing box.  Power was returned to unit and verified that there was no electrical charge to exterior of housing box.",-ELECTRICAL-POOR_JUDGMENT-NEGLIGENCE
While walking in our material yard I noticed a piece of wood with a nail sticking out of it .,RAIN
"Found a loaded,  40 caliber hand gun on roadway and turned in to Brooklyn Police Department.",-NEGLIGENCE
"Console Operator received an alarm in SCADA reporting a power failure at the Nettle Creek Well House at 2:30 am on July 14th.  A Field Operator was dispatched and discovered the 480 volt step-down transformer had fallen off the wall and damaged a 110 volt panel as it fell.  After disconnecting from utility power the transformer was temporarily relocated at floor level until the proper mounting hardware is obtained.  A permanent solution for the transformer is being discussed, the panel will be replaced, but we expect a resolution within 30 days.  This event occurred due to the use of insufficient mounting hardware at the time of installation.  ",-ELECTRICAL-NEGLIGENCE
Floor drainage grate inside the station badly corroded and portions missing completely.  Could result in a tripping hazard.  Identified during daily visit.  New grate was fabricated and installed.  Now flush with floor and tripping hazard removed. ,RAIN
Employees were tracing out a water line. Because there were so many other utilities crossing over at this location our locate equipment was following the nearby electrical lines instead of the water line. We decided to go to the guard shack and hook our equipment up to the water service in the building. When we went to ground our equipment to the electrical box in the building we saw a spark. Anything metal we touched with our ground clamp in that building sparked. We stopped work and disconnected our equipment. We have contacted Fort Belvoir's work control desk to notify their electricians. The electrician responded saying that it was just static electricity. I have a follow-up meeting scheduled with the electrical foreman to discuss the issue further.,-ELECTRICAL-NEGLIGENCE
Contractor hose had a leak and water frozen on an electrical power line.,-ELECTRICAL-NEGLIGENCE
Eye wash stations are checked monthly but they had not yet been checked during the monthly safety walk. Responsible lab member reminded and the task accomplished the following day.,RAIN
"Electrician was investigation a VFD giving a power call failure message.  The electrician first shut down power to the VFD at the controlling MCC, and then proceeded to open the cabinet and do a visual inspection for any faulty wiring or other evidence of a bad power cell. He did not see anything, so he proceeded to the MCC to power the VFD back up so that he could see what the error message was on VFD keypad/digital read out.  When the VFD was powered on, nearby employees reported a loud noise and sparks flying from the VFD cabinet in question. It appears that 3 of the power cells blew when the equipment was powered back up.",-ELECTRICAL-POOR_JUDGMENT-NEGLIGENCE
"While a FSR was driving a van, he sensed a burning odor. He pulled the van over and opened the side door.  He discovered the secondary battery was on fire. This battery was used to power a converter. Fortunately, he had portable fire extinguisher to stop the fire. ",-VEHICLE-NEGLIGENCE
Fume hood with >20L of chemical waste found during monthly safety walk. Lab personnel are arranging for disposal through a waste disposal company,RAIN
"Employee was utilizing a truck and noticed that the brakes were not sufficient. He stated that the brakes were sticking and were not functioning correctly. This vehicle was used daily. The next day, the person who is operates the truck on a regular basis, they took the truck, after approval and maintenance scheduled from Ops  to have the vehicle's brakes fixed to prevent any form of accident that could have occurred. Quick thinking from the SIOTC team to prevent an accident that could have harmed our team or a customer due to bad brakes.",-VEHICLE-NEGLIGENCE
One call was placed and received KARL System response of the utilities marked and clear. West Penn Power lines were not marked correctly.  Cable line not marked and was damaged. Called one call system of the hit. West Penn called and said they would be out to mark there lines. Have responses back through the KARL System that they were clear again. ,-ELECTRICAL-POOR_JUDGMENT-NEGLIGENCE
"Tripping Hazard , On 5/4/16 While cleaning of a wet well, I noticed the lifting hooks for the top of the wet well were still exposed where we commonly walk around to inspect/clean.  Suggested action will be to cut the hooks evenly with the top of lid & fill in the voids.",RAIN-LOW_VISIBILITY
"While staging a 50% caustic soda delivery, the delivery driver informed me that he was going to have to use a secondary pump attached to his truck bed to move the product from the tankard to the bulk tank.  After questioning the driver about the internal parts of the pump, it was determined that aluminum was believed to be in parts of the unit.  I immediately stopped the driver who seemed to be clueless as to the product he was dealing with and informed him that caustic has a negative reaction with aluminum which could result in an explosion of the pump.  I redirected him to hook the plant air directly to the tanker and pressurize the tanker in order to move the product.  ",-CHEMICAL-NEGLIGENCE
"Prior to doing motor vibration data collection in a nearby well field, I observed a loose conduit fitting at the well pump motor. Looking closer I found the insulation had been worn away from a 480 VAC 3 phase motor lead, exposing the bare copper conductor to the motor junction box. This is a code red event that was immediately addressed by LOTO, wire/connection repair and re-securing the fitting to the junction box.",-ELECTRICAL-POOR_JUDGMENT-NEGLIGENCE
"Our net crew was working at our facility directly adjacent to a double set of rail road tracks. The RR safety gates came down and the alarm sounded to stop traffic. A small River Line train went past. After approximately 15 minutes the gates were still down. Traffic including tractor trailers started going around the safety gates and one car was nearly missed by a high speed train. I with my safety vest ,hard hat and PPE in a safe position started motioning traffic to turn around. I notified local police for assistance and called the posted !- 800 number for the Rail road. Our crew stayed in a safe area as they were blocked from exiting the facility. It took about a half hour for the rail road safety crew to arrive, but no one was injured.",RAIN-VEHICLE
"Left work, traveling up Carriage Lane to Route 130.    Stopped at Route 130, merging into traffic to go south bound.    You can only go south bound on Route 130 at this location (not an intersection).  This is a six lane highway, three lanes north and three lanes south with a concrete barrier.   While merging onto highway south, looking left, a bicycle passed in front of my car going north.   I didn't look to the right, no excepting traffic to be coming in that direction, since you can only go right.    I just missed the bicycle my inches.   Suggestion look both ways at this location for pedestrians and/or bicycles.  ",RAIN-LOW_VISIBILITY-VEHICLE
"The water treatment plant Sodium Hydroxide 50% bulk tank has a leak and the water treatment plant is now receiving delivers of Sodium Hydroxide 50% in totes. The pump being used to transfer the Sodium Hydroxide is 1 1/2"" and the valve on the tote is 2"". The adapter that was brought to reducer down in size to allow the hose to be connected was aluminum not stainless steal. The Sodium Hydroxide ate away the adapter causing the chemical to leak into a drip pan. Sodium Hydroxide was not transfer until the new stainless steal adapter was brought and received.  ",-CHEMICAL-NEGLIGENCE
 While I was washing and rinsing lab glassware I  picked up a beaker to rinse and noticed that it had broken in the sink .Luckily I was wearing thick rubber gloves therefore I avoided being cut. I disposed of the broken glass into the glass disposal bin .I promptly reported the near miss to my supervisor.,-POOR_JUDGMENT-NEGLIGENCE
"At 10:30 a.m. on June 28, 2016, a WVAW crew from the Salt Rock facility, was repairing a 1"" service leak 8' from the edge of the west bound lane of Rte. 60 in Ona, when a vehicle speeding through the work zone, struck 3 of the cones near the excavation. Proper work zone procedures were in place. (Signage and cones) and was located on a stretch of Rte. 60 where there are 3 lanes (East, West, and a middle turning lane)  There were no injuries sustained and the vehicle never stopped or slowed down. ",-VEHICLE-POOR_JUDGMENT-NEGLIGENCE
"Meter reader reported being attacked by 2 dogs while reading meters. The meter reader was not bitten and managed to fend off the dogs. The meter reader used the metal rod that is carried to lift meter lids to beat the dogs to keep from being bitten. The meter reader backed up against a church to have no way for the dogs to approach him from behind and was able to fend them off with the rod. After the dogs gave up the meter reader retreated to the truck and called the police and was directed to animal control and was not able to get through. The meter reader called me and I advised to stop reading the area. I contacted Animal Control and they were calling the police because the dogs were coming in and out of a home at will due to a front door that was open. The address the dogs came from has a radio reader installed, so that address is not read on foot.  Will note any resulting skips on the street due to the dangerous animals and note the file to beware that dogs were loose on the street on last attempt. ",-NEGLIGENCE
"during a pre trip vehicle inspection, it was observed that the ball on the hitch was not sitting at quite a 90 degree angle.  Upon further inspection where the hitch is welded and bolted to the frame of the vehicle it was observed that the towing hitch has bowed out.  if this was not caught the hitch could have broken off while hauling the mini",-VEHICLE-NEGLIGENCE
"While re-entering our construction area, we noticed a vehicle following too close to our dump truck. With all PPE on including safety vests we flagged the vehicle to slow down and stop. After this we could safely back into our construction zone. In our business we have to be aware of our own crew and everyone else around us to be safe.",-VEHICLE-POOR_JUDGMENT-NEGLIGENCE
Had established work zone to repair a leak. Using flaggers for traffic control. White Intrepid ran through work zone hitting four cones. Flagger dove out of the way and the driver hit the stop/slow paddle. Got driver stopped at the other end of the work area. He was impaired. Police were called and we reported the driver's license plate number.  This road can be hazardous especially at night. We should consider using portable stop lights and/or local police to assist us when working on this roadway. ,-VEHICLE-POOR_JUDGMENT-NEGLIGENCE
Crew found two electric cables unmarked in excavation.  Crew immediately stopped work and call One call.  Safety member was onsite.  Crew notified electric company.  Crew notified supervision.  Work was stopped until Cuirver River electric company could de-energize the electric.  Work was stopped until 5/13/2016 when it was considered to be safe to start excavation to fix main break.,-TRENCHING-NEGLIGENCE
Rug has been double checked and is laying flat with trash can sitting on the edge of the rug.  Facilities will monitor throughout the day.,-NEGLIGENCE
Employee observed a contractor preparing to start an ICS saw having an extremely loose chain.  Employee stopped the contractor from attempting to start the saw and advised him the chain needed to be tightened before the saw could be operated safely.  The contractor adjusted the chain and cut the piece of pipe with no issue.,-NEGLIGENCE
